t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20732.1,1,0.0631361,1.00633,-0.291486,-0.0630306,-0.965205,0.249322,-0.0645533,0.972198,-0.323727,0.064426,-0.970862,0.321167,0,0,-20.3056,0,0,-19.8609,0,0,-30.1391,0,0,-29.6944
20736.3,1,0.063148,1.00648,-0.291765,-0.0630389,-0.965314,0.249518,-0.0645498,0.972193,-0.323714,0.0644203,-0.970804,0.321055,0,0,-20.2453,0,0,-19.9142,0,0,-30.0858,0,0,-29.7547
20740.3,1,0.0631611,1.00665,-0.292069,-0.063048,-0.965433,0.249731,-0.0645466,0.972158,-0.323646,0.0644146,-0.970717,0.320892,0,0,-20.235,0,0,-19.9281,0,0,-30.0719,0,0,-29.765
20744.3,1,0.0631732,1.00681,-0.292354,-0.0630559,-0.965537,0.249918,-0.0645409,0.9721,-0.323535,0.0644054,-0.970611,0.320689,0,0,-20.3667,0,0,-19.9651,0,0,-30.0349,0,0,-29.6333
20748.1,1,0.0631833,1.00695,-0.292592,-0.0630618,-0.965615,0.250058,-0.0645352,0.972013,-0.323372,0.0643941,-0.97048,0.32044,0,0,-20.4191,0,0,-19.9248,0,0,-30.0752,0,0,-29.5809
20752.1,1,0.0631915,1.00705,-0.292785,-0.063067,-0.965665,0.250149,-0.064526,0.971906,-0.323169,0.0643809,-0.970325,0.320146,0,0,-20.4834,0,0,-20.0096,0,0,-29.9904,0,0,-29.5166
20756,1,0.0631977,1.00713,-0.292932,-0.0630685,-0.965694,0.250199,-0.0645147,0.971776,-0.32292,0.0643656,-0.970147,0.319806,0,0,-20.4273,0,0,-20.0501,0,0,-29.9499,0,0,-29.5727
20760,1,0.0632032,1.00719,-0.293029,-0.063069,-0.965699,0.250209,-0.0645014,0.971622,-0.322626,0.0643483,-0.969945,0.319421,0,0,-20.4048,0,0,-20.0475,0,0,-29.9525,0,0,-29.5952
20764.1,1,0.0632059,1.00723,-0.2931,-0.0630701,-0.965707,0.250224,-0.0644861,0.971443,-0.322287,0.064329,-0.969719,0.318991,0,0,-20.5069,0,0,-20.0678,0,0,-29.9322,0,0,-29.4931
20768.1,1,0.063209,1.00727,-0.293172,-0.0630725,-0.965744,0.250289,-0.0644687,0.971242,-0.321903,0.0643077,-0.96947,0.318516,0,0,-20.5205,0,0,-20.0344,0,0,-29.9656,0,0,-29.4795
